District,Month,rainfall
Upper Siang,1,75.04615384615384
Siang,1,49.67692307692308
Badgam,1,71.48181818181818
Srinagar,1,73.42307692307692
Reasi,1,90.22
Bandipur,1,55.5
Kishtwar,1,0
Rajouri,1,58.489999999999995
Samba,1,46.99
Poonch,1,65.36
Ganderbal,1,90.83000000000001
Kargil,1,4.933333333333334
Pulwama,1,28.333333333333332
Ramban,1,162.96
Kulgam,1,115.18999999999998
Baramulla,1,105.84545454545454
Kathua,1,57.084615384615375
Jammu,1,60.73076923076921
Udhampur,1,83.10769230769232
Doda,1,121.61538461538463
Pulwama,1,63.400000000000006
Kupwara,1,115.85384615384613
Leh,1,3.769230769230769
Anantnag,1,101.63076923076922
Baramulla,1,106.94000000000001
Dibrugarh,1,16.007692307692313
Karbi Anglong,1,9.992307692307692
Nalbari,1,19.146153846153847
Chirang,1,5.86
Dhemaji,1,6.966666666666667
Kamrup,1,8.6
Baksa,1,7.277777777777778
Udalguri,1,8.870000000000001
Barpeta Road,1,4.753846153846154
Golaghat,1,17.784615384615382
Kokrajhar,1,6.6923076923076925
Sibsagar,1,15.976923076923075
Bongaigaon,1,3.123076923076923
Goalpara,1,12.446153846153845
Nagaon,1,10.26923076923077
Karimganj,1,9.123076923076924
Dhubri,1,7.73076923076923
Kamrup,1,15.73846153846154
Cachar Hills,1,7.399999999999999
Cachar,1,7.6692307692307695
Hailakandi,1,17.146153846153847
Lakhimpur,1,28.95384615384615
Sonitpur,1,19.792307692307695
Jorhat,1,21.599999999999998
Morigaon,1,9.961538461538462
Tinsukia,1,29.26923076923077
Darrang,1,3.688888888888889
Goa,1,0.8
Goa,1,0.6900000000000001
Vizianagaram,1,7.884615384615385
Chittoor,1,5.4
Kurnool,1,2.5076923076923077
East Godavari,1,1.7692307692307692
Nizamabad,1,1.78
Warangal,1,4.08
Cuddapah,1,3.0846153846153848
Medak,1,1.94
Godavari,1,6.115384615384617
Nellore,1,12.176923076923076
Krishna,1,9.53076923076923
Visakhapatnam,1,3.5769230769230775
Adilabad,1,4.72
Anantapur,1,3.753846153846154
Khammam,1,9.76
Guntur,1,9.246153846153847
Prakasam,1,7.823076923076924
Srikakulam,1,5.5307692307692315
Hyderabad,1,1.94
Karimnagar,1,2.7
Pithoragarh,1,50.599999999999994
Rudraprayag,1,56.99230769230769
Udham Singh Nagar,1,67.26153846153846
Uttarkashi,1,85.92307692307692
Bageshwar,1,44.68
Pauri Garhwal,1,42.34285714285715
Almora,1,35.184615384615384
Chamoli,1,45.338461538461544
Champawat,1,70.3153846153846
